"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"48201","0","10","70","0","2020","1","",118945,2342809,2360917,2346382,47472301342,14900268790,341381976,1554,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1061,0.9,30988,1.3,27247,1.2,10244,0.4,566639152,1.2,141180433,1.0,-53592492,-13.6,4,0.3
"48201","1","10","71","0","2020","1","",176,25746,25859,25728,579514148,0,0,1729,"",0.25,0.57,0.57,0.56,0.50,0.00,0.00,0.89,"",-1,-0.6,631,2.5,558,2.2,395,1.6,3300084,0.6,0,0.0,0,0.0,-26,-1.5
"48201","1","102","72","0","2020","1","",176,25746,25859,25728,579514148,0,0,1729,"",0.25,0.58,0.58,0.58,0.51,0.00,0.00,0.89,"",-1,-0.6,631,2.5,558,2.2,395,1.6,3300084,0.6,0,0.0,0,0.0,-26,-1.5
"48201","1","1021","73","0","2020","1","",98,7920,7871,7812,136528004,0,0,1335,"",0.28,0.74,0.74,0.74,0.68,0.00,0.00,0.92,"",1,1.0,169,2.2,-46,-0.6,-153,-1.9,-5008295,-3.5,0,0.0,0,0.0,-47,-3.4
"48201","1","1022","73","0","2020","1","",1,1,1,1,31201,0,0,2400,"",0.70,0.01,0.01,0.01,0.01,0.00,0.00,1.28,"",0,0.0,0,0.0,0,0.0,0,0.0,-3552,-10.2,0,0.0,0,0.0,-273,-10.2
"48201","1","1023","73","0","2020","1","",3,67,67,66,2131544,0,0,2459,"",0.34,0.35,0.35,0.35,0.29,0.00,0.00,0.83,"",0,0.0,4,6.3,4,6.3,3,4.8,224685,11.8,0,0.0,0,0.0,131,5.6
"48201","1","1024","73","0","2020","1","",2,49,48,45,1105761,0,0,1797,"",0.12,0.05,0.04,0.04,0.04,0.00,0.00,0.88,"",-1,-33.3,10,25.6,9,23.1,5,12.5,150224,15.7,0,0.0,0,0.0,-72,-3.9
"48201","1","1025","73","0","2020","1","",1,5052,5076,5016,120299862,0,0,1833,"",0.06,0.75,0.75,0.74,0.70,0.00,0.00,0.94,"",0,0.0,103,2.1,74,1.5,9,0.2,8339034,7.4,0,0.0,0,0.0,106,6.1
"48201","1","1027","73","0","2020","1","",1,32,30,30,458450,0,0,1150,"",0.53,0.44,0.41,0.41,0.35,0.00,0.00,0.85,"",0,0.0,3,10.3,1,3.4,0,0.0,66382,16.9,0,0.0,0,0.0,122,11.9
"48201","1","1028","73","0","2020","1","",70,12625,12766,12758,318959326,0,0,1929,"",0.24,0.51,0.51,0.51,0.45,0.00,0.00,0.89,"",0,0.0,343,2.8,517,4.2,532,4.4,-445882,-0.1,0,0.0,0,0.0,-76,-3.8
"48201","1","44-45","74","0","2020","1","",1,5,5,5,27350,0,0,421,"",0.13,0.01,0.01,0.01,0.00,0.00,0.00,0.53,"",0,0.0,1,25.0,2,66.7,1,25.0,5504,25.2,0,0.0,0,0.0,-37,-8.1
"48201","1","452","75","0","2020","1","",1,5,5,5,27350,0,0,421,"",0.31,0.01,0.01,0.01,0.01,0.00,0.00,0.56,"",0,0.0,1,25.0,2,66.7,1,25.0,5504,25.2,0,0.0,0,0.0,-37,-8.1
"48201","1","4522","76","0","2020","1","",1,5,5,5,27350,0,0,421,"",0.43,0.02,0.02,0.02,0.01,0.00,0.00,0.56,"",0,0.0,1,25.0,2,66.7,1,25.0,5504,25.2,0,0.0,0,0.0,-37,-8.1
"48201","1","45221","77","0","2020","1","",1,5,5,5,27350,0,0,421,"",0.43,0.02,0.02,0.02,0.01,0.00,0.00,0.56,"",0,0.0,1,25.0,2,66.7,1,25.0,5504,25.2,0,0.0,0,0.0,-37,-8.1
"48201","1","452210","78","0","2020","1","",1,5,5,5,27350,0,0,421,"",0.43,0.02,0.02,0.02,0.01,0.00,0.00,0.56,"",0,0.0,1,25.0,2,66.7,1,25.0,5504,25.2,0,0.0,0,0.0,-37,-8.1
"48201","1","48-49","74","0","2020","1","",97,7915,7866,7807,136500654,0,0,1335,"",0.29,0.81,0.81,0.80,0.74,0.00,0.00,0.91,"",1,1.0,168,2.2,-48,-0.6,-154,-1.9,-5013799,-3.5,0,0.0,0,0.0,-47,-3.4
"48201","1","488","75","0","2020","1","",2,554,555,555,24602803,0,0,3412,"",1.08,3.05,3.04,3.04,3.04,0.00,0.00,1.00,"",0,0.0,11,2.0,12,2.2,9,1.6,-1581240,-6.0,0,0.0,0,0.0,-290,-7.8
"48201","1","4881","76","0","2020","1","",2,554,555,555,24602803,0,0,3412,"",1.08,3.05,3.04,3.04,3.04,0.00,0.00,1.00,"",0,0.0,11,2.0,12,2.2,9,1.6,-1581240,-6.0,0,0.0,0,0.0,-290,-7.8
"48201","1","48811","77","0","2020","1","",2,554,555,555,24602803,0,0,3412,"",1.08,3.05,3.04,3.04,3.04,0.00,0.00,1.00,"",0,0.0,11,2.0,12,2.2,9,1.6,-1581240,-6.0,0,0.0,0,0.0,-290,-7.8
"48201","1","488111","78","0","2020","1","",2,554,555,555,24602803,0,0,3412,"",1.08,3.05,3.04,3.05,3.04,0.00,0.00,1.00,"",0,0.0,11,2.0,12,2.2,9,1.6,-1581240,-6.0,0,0.0,0,0.0,-290,-7.8
"48201","1","491","75","0","2020","1","",95,7361,7311,7252,111897851,0,0,1178,"",0.29,0.77,0.77,0.76,0.63,0.00,0.00,0.82,"",1,1.1,157,2.2,-60,-0.8,-163,-2.2,-3432559,-3.0,0,0.0,0,0.0,-32,-2.6
"48201","1","4911","76","0","2020","1","",95,7361,7311,7252,111897851,0,0,1178,"",0.29,0.77,0.77,0.76,0.63,0.00,0.00,0.82,"",1,1.1,157,2.2,-60,-0.8,-163,-2.2,-3432559,-3.0,0,0.0,0,0.0,-32,-2.6
"48201","1","49111","77","0","2020","1","",95,7361,7311,7252,111897851,0,0,1178,"",0.29,0.77,0.77,0.76,0.63,0.00,0.00,0.82,"",1,1.1,157,2.2,-60,-0.8,-163,-2.2,-3432559,-3.0,0,0.0,0,0.0,-32,-2.6
"48201","1","491110","78","0","2020","1","",95,7361,7311,7252,111897851,0,0,1178,"",0.29,0.77,0.77,0.76,0.63,0.00,0.00,0.82,"",1,1.1,157,2.2,-60,-0.8,-163,-2.2,-3432559,-3.0,0,0.0,0,0.0,-32,-2.6
"48201","1","51","74","0","2020","1","",1,1,1,1,31201,0,0,2400,"",0.70,0.01,0.01,0.01,0.01,0.00,0.00,1.28,"",0,0.0,0,0.0,0,0.0,0,0.0,-3552,-10.2,0,0.0,0,0.0,-273,-10.2
"48201","1","519","75","0","2020","1","",1,1,1,1,31201,0,0,2400,"",0.82,0.01,0.01,0.01,0.01,0.00,0.00,1.20,"",0,0.0,0,0.0,0,0.0,0,0.0,-3552,-10.2,0,0.0,0,0.0,-273,-10.2
"48201","1","5191","76","0","2020","1","",1,1,1,1,31201,0,0,2400,"",0.82,0.01,0.01,0.01,0.01,0.00,0.00,1.20,"",0,0.0,0,0.0,0,0.0,0,0.0,-3552,-10.2,0,0.0,0,0.0,-273,-10.2
"48201","1","51912","77","0","2020","1","",1,1,1,1,31201,0,0,2400,"",0.84,0.01,0.01,0.01,0.01,0.00,0.00,1.20,"",0,0.0,0,0.0,0,0.0,0,0.0,-3552,-10.2,0,0.0,0,0.0,-273,-10.2
"48201","1","519120","78","0","2020","1","",1,1,1,1,31201,0,0,2400,"",0.84,0.01,0.01,0.01,0.01,0.00,0.00,1.20,"",0,0.0,0,0.0,0,0.0,0,0.0,-3552,-10.2,0,0.0,0,0.0,-273,-10.2
"48201","1","52","74","0","2020","1","",3,67,67,66,2131544,0,0,2459,"",0.34,0.35,0.35,0.35,0.29,0.00,0.00,0.83,"",0,0.0,4,6.3,4,6.3,3,4.8,224685,11.8,0,0.0,0,0.0,131,5.6
"48201","1","522","75","0","2020","1","",2,17,17,17,598226,0,0,2707,"",0.28,0.19,0.19,0.19,0.23,0.00,0.00,1.18,"",0,0.0,2,13.3,2,13.3,2,13.3,74635,14.3,0,0.0,0,0.0,22,0.8
"48201","1","5222","76","0","2020","1","",2,17,17,17,598226,0,0,2707,"",0.28,0.19,0.19,0.19,0.23,0.00,0.00,1.18,"",0,0.0,2,13.3,2,13.3,2,13.3,74635,14.3,0,0.0,0,0.0,22,0.8
"48201","1","52229","77","0","2020","1","",2,17,17,17,598226,0,0,2707,"",0.28,0.19,0.19,0.19,0.23,0.00,0.00,1.18,"",0,0.0,2,13.3,2,13.3,2,13.3,74635,14.3,0,0.0,0,0.0,22,0.8
"48201","1","522293","78","0","2020","1","",1,2,2,2,64259,0,0,2472,"",7.98,0.32,0.32,0.32,0.27,0.00,0.00,0.85,"",0,0.0,0,0.0,0,0.0,0,0.0,3673,6.1,0,0.0,0,0.0,142,6.1
"48201","1","522298","78","0","2020","1","",1,15,15,15,533967,0,0,2738,"",0.30,0.42,0.42,0.42,0.41,0.00,0.00,0.97,"",0,0.0,2,15.4,2,15.4,2,15.4,70962,15.3,0,0.0,0,0.0,-2,-0.1
"48201","1","524","75","0","2020","1","",1,50,50,49,1533318,0,0,2375,"",0.68,0.50,0.51,0.50,0.33,0.00,0.00,0.66,"",0,0.0,2,4.2,2,4.2,1,2.1,150050,10.8,0,0.0,0,0.0,158,7.1
"48201","1","5241","76","0","2020","1","",1,50,50,49,1533318,0,0,2375,"",0.85,0.53,0.53,0.52,0.34,0.00,0.00,0.65,"",0,0.0,2,4.2,2,4.2,1,2.1,150050,10.8,0,0.0,0,0.0,158,7.1
